Date,Open,High,Low,Close,Adj Close,Volume
1996-11-18,28.495296,28.534988,28.296682,28.304682,16.858881,1502410
1996-11-19,28.197412,28.741528,27.840021,28.435720,16.936934,2594136
1996-11-20,28.554874,28.797134,28.276875,28.455605,16.948774,2010294
1996-11-21,28.534988,28.546951,28.221258,28.340412,16.880165,917281
1996-11-22,28.356251,28.356251,28.197412,28.237183,16.818678,1131635
1996-11-25,28.475405,28.670059,28.364250,28.483404,16.965334,854841
1996-11-26,28.713720,28.852758,28.467482,28.475405,16.960567,2112000
1996-11-27,28.487373,28.745489,28.443636,28.538952,16.998426,1467650
1996-11-28,28.614450,28.928181,28.554874,28.844757,17.180569,2175726
1996-11-29,28.908297,29.285643,28.908297,29.051296,17.303585,2959761
1996-12-02,29.031410,29.039412,28.713720,28.900366,17.213690,1306079
1996-12-03,28.991711,29.106903,28.745489,28.793175,17.149841,1490179
1996-12-04,28.638296,28.932142,28.598528,28.852758,17.185331,1132279
1996-12-05,28.793175,29.484180,28.793175,29.190334,17.386398,3967161
1996-12-06,28.594566,28.753412,28.006798,28.626335,17.050465,3850650
1996-12-09,28.872559,28.991711,28.785173,28.904335,17.216053,973927
1996-12-10,28.991711,29.230026,28.892443,29.075142,17.317785,1423878
1996-12-11,28.912258,28.912258,28.594566,28.674021,17.078873,1662693
1996-12-12,28.674021,28.872559,28.614450,28.832872,17.173489,1193431
1996-12-13,28.693834,28.789135,28.376137,28.650181,17.064671,1364657
1996-12-16,28.872559,28.991711,28.646219,28.757364,17.128510,1362726
1996-12-17,28.606527,28.654142,28.137829,28.264906,16.835197,1768260
1996-12-18,28.435720,28.471443,28.276875,28.348328,16.884882,751205
1996-12-19,28.356251,28.356251,28.058443,28.245098,16.823395,843898
1996-12-20,28.475405,28.507181,28.256983,28.256983,16.830475,1408429
1996-12-23,28.296682,28.435720,27.978991,28.034597,16.698017,933374
1996-12-24,28.034597,28.034597,28.034597,28.034597,16.698017,0
1996-12-25,28.034597,28.034597,28.034597,28.034597,16.698017,0
1996-12-26,28.034597,28.034597,28.034597,28.034597,16.698017,0
1996-12-27,27.959105,28.495296,27.919413,28.388027,16.908524,784677
1996-12-30,28.495296,28.785173,28.356251,28.674021,17.078873,648212
1996-12-31,28.674021,28.674021,28.674021,28.674021,17.078873,0
