Estimation results of model 'HHMM_3_2_DAX_VW_t_t':

AIC:            -29732.60
BIC:            -29470.40
exit code:      2
iterations:     195

               est       lb_0.95    ub_0.95  
Gamma_21       0.01815   0.01815    0.01815  
Gamma_31       0.008524  0.008524   0.008524 
Gamma_12       0.1474    0.1474     0.1474   
Gamma_32       0.7631    0.7631     0.7631   
Gamma_13       0.07599   0.07599    0.07599  
Gamma_23       0.1119    0.1119     0.1119   
Gamma_star1_21 0.16      0.16       0.16     
Gamma_star1_12 0.0116    0.0116     0.0116   
Gamma_star2_21 0.4647    0.4647     0.4647   
Gamma_star2_12 0.01815   0.01815    0.01815  
Gamma_star3_21 0.5057    0.5057     0.5057   
Gamma_star3_12 0.1681    0.1681     0.1681   
mu_1           0.01296   0.01296    0.01296  
mu_2           0.001172  0.001172   0.001172 
mu_3           -0.002151 -0.002151  -0.002151
mu_star1_1     0.005527  0.005527   0.005527 
mu_star1_2     0.003269  0.003269   0.003269 
mu_star2_1     0.0002913 0.0002913  0.0002913
mu_star2_2     4.456e-11 -1.315e-12 9.044e-11
mu_star3_1     0.001703  0.001703   0.001703 
mu_star3_2     -0.001165 -0.001165  -0.001165
sigma_1        0.001095  0.001095   0.001095 
sigma_2        0.05466   0.05466    0.05466  
sigma_3        0.0365    0.0365     0.0365   
sigma_star1_1  0.0005167 0.0005167  0.0005167
sigma_star1_2  0.0005787 0.0005787  0.0005787
sigma_star2_1  0.01919   0.01919    0.01919  
sigma_star2_2  7.633e-10 7.633e-10  7.633e-10
sigma_star3_1  0.01234   0.01234    0.01234  
sigma_star3_2  0.02026   0.02026    0.02026  
df_1           7.987     7.987      7.987    
df_2           32.12     32.12      32.12    
df_3           1273      1273       1273     
df_star1_1     27        27         27       
df_star1_2     3.967     3.967      3.967    
df_star2_1     3.232     3.232      3.232    
df_star2_2     27.27     27.27      27.27    
df_star3_1     66.1      66.1       66.1     
df_star3_2     42.47     42.47      42.47    
