Estimation results of model 'HMM_3_DBK_t':

AIC:            -34701.10
BIC:            -34600.01
exit code:      2
iterations:     92

         est        lb_0.95    ub_0.95   
Gamma_21 0.05819    NA         NA        
Gamma_31 0.02247    0.02247    0.02247   
Gamma_12 0.0003815  0.0003815  0.0003815 
Gamma_32 0.02622    0.02622    0.02622   
Gamma_13 0.03477    0.03477    0.03477   
Gamma_23 0.4102     NA         NA        
mu_1     5.177e-05  5.177e-05  5.177e-05 
mu_2     -2.317e-11 -2.838e-11 -1.797e-11
mu_3     -0.0004754 -0.0004754 -0.0004754
sigma_1  0.01273    0.01273    0.01273   
sigma_2  3.496e-10  3.496e-10  3.496e-10 
sigma_3  0.02296    0.02296    0.02296   
df_1     18.15      18.15      18.15     
df_2     31.52      31.52      31.52     
df_3     4.056      4.056      4.056     
